区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.0,"Avenue Gustave Eiffel, Paris, France",巴黎的标志，首都的瞭望台,"2.29448197055228,48.8583742911289"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
天津·天津·和平区,鼓楼,2595787938,文化古迹,,热度 0.78,天津市南开区城厢中路,展示了70多处典型建筑和名人名居,"117.187836,39.147399"
浙江·台州·临海市,桃渚城,4005614276,文化古迹,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.0,"Avenue Gustave Eiffel, Paris, France",巴黎的标志，首都的瞭望台,"2.29448197055228,48.8583742911289"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.0,"Avenue Gustave Eiffel, Paris, France",巴黎的标志，首都的瞭望台,"2.29448197055228,48.8583742911289"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
天津·天津·和平区,鼓楼,2595787938,文化古迹,,热度 0.78,天津市南开区城厢中路,展示了70多处典型建筑和名人名居,"117.187836,39.147399"
浙江·台州·临海市,桃渚城,4005614276,文化古迹,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
天津·天津·和平区,鼓楼,2595787938,文化古迹,,热度 0.78,天津市南开区城厢中路,展示了70多处典型建筑和名人名居,"117.187836,39.147399"
浙江·台州·临海市,桃渚城,4005614276,文化古迹,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
天津·天津·和平区,鼓楼,2595787938,文化古迹,,热度 0.78,天津市南开区城厢中路,展示了70多处典型建筑和名人名居,"117.187836,39.147399"
浙江·台州·临海市,桃渚城,4005614276,文化古迹,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
天津·天津·和平区,鼓楼,2595787938,文化古迹,,热度 0.78,天津市南开区城厢中路,展示了70多处典型建筑和名人名居,"117.187836,39.147399"
浙江·台州·临海市,桃渚城,4005614276,文化古迹,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.0,"Avenue Gustave Eiffel, Paris, France",巴黎的标志，首都的瞭望台,"2.29448197055228,48.8583742911289"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.0,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,"119.303907,26.088959"
加利福尼亚州·圣地亚哥,中途岛号航空母舰博物馆,3052332242,文化古迹,,热度 0.0,"910 N. Harbor Drive, San Diego, CA 92101",美国备受游客好评的博物馆之一,"-117.17512512207,32.713737487793"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.0,上海市金山区朱泾镇东林街150号,新春参拜迎新，东林寺祈福圣地,"121.172349,30.900096"
新疆·吐鲁番·吐鲁番市,交河驿·坎儿井源,2568415729,文化古迹,,热度 0.0,吐鲁番市高昌区坎儿井路8号（原统一旅游售票中心对面）,了解坎儿井，体验丝路辉煌,"89.130421,43.002525"
安徽·黄山·黟县,关麓古村,983499325,文化古迹,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.0,"Avenue Gustave Eiffel, Paris, France",巴黎的标志，首都的瞭望台,"2.29448197055228,48.8583742911289"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
湖北·荆门·绿林山,绿林寨,3827176217,文化古迹,4A景区,热度 0.7,湖北省荆门市京山县大洪山风景区,葱茏满眼，光风霁月，是宇宙的真意,"113.108108,31.358984"
江西·九江·庐山风景名胜区,美庐别墅,183348653,文化古迹,,热度 0.74,江西省九江市庐山区庐山景区内,日夜被包裹在漂浮的烟云中，令人神往,"115.990123,29.570063"
浙江·宁波·海曙区,天一阁博物馆,181366052,文化古迹,5A景区,热度 0.72,浙江省宁波市海曙区天一街10号,书香圣地，读书人的书房,"121.545361,29.877342"
新疆·喀什·叶城县,锡提亚迷城,3454984601,文化古迹,,热度 0.0,新疆喀什地区叶城县,锡提亚谜城遗址属自治区级文物保护单位,"77.407604,37.898112"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
江苏·苏州·同里古镇,同里珍珠塔,607614785,文化古迹,,热度 0.7,江苏省苏州市同里镇,展示工匠精湛绝伦的手艺和吴文化灿烂风采,"120.72383279884,31.164184888722"
山东·菏泽·郓城,水浒好汉城,1624001160,文化古迹,4A景区,热度 0.0,山东省菏泽市郓城县西门街南段,水浒故事的发源地,"115.93948,35.591736"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
